query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load
c23b59e5fcceae5e7884fac60d4c1925,select,3910683843,76742,0,0.005272175932347648,0,1,1534840,1,1460A,,2024-04-14 12:14:15,1.962367787346598e-05,0.0003924735574693196,0.0002638522427440633,1.97
ee5ee9523325d95930e936b7b3582101,select,4193925668,38991,0,0.007974058342869933,0,2,1169730,1,"256801A,33A",,2024-04-14 12:14:21,9.297017421530514e-06,0.0002789105226459154,0.00021108179419525067,2.65
4010263a38b7aef980cc97aead53d7e7,select,1399365359,29987,0,0.007608850346221894,0,1,599740,1,228A,,2024-04-14 12:14:30,2.1428999801330656e-05,0.0004285799960266131,5.277044854881267e-05,2.12
4f6bc3d78329316d997b82e1e90f0c41,select,1027884495,53169,0,0.0087099327507049,0,1,1063380,1,229044A,,2024-04-14 12:14:31,5.172662907032176e-05,0.0010345325814064353,0.000158311345646438,2.36
e25db2857c9875eb5e967cd8863a3328,delete,1313187245,0,334,0.0031580033193828088,0,1,0,1,19A,366A,2024-04-14 12:14:33,0.0,0.0,0.00021108179419525067,0.99
db7e1ede9636e8ac39499b696c1dd23f,insert,2484138429,0,1070,0.006040652840700428,0,1,0,1,256782A,1286A,2024-04-14 12:14:35,0.0,0.0,0.000158311345646438,1.9
3250ee57cb2184eb44a02703fe1863fc,select,4488794517,29495,0,0.008299488926131223,0,1,589900,1,56A,,2024-04-14 12:14:38,6.570806457790903e-06,0.00013141612915581807,5.277044854881267e-05,2.76
bd6d8c2fe1fe912b516c91b1b6d72f35,select,2333127037,48277,0,0.008381118302446705,0,2,1448310,1,"29758A,1019A",,2024-04-14 12:14:40,2.069197229057699e-05,0.0006207591687173098,0.000316622691292876,2.47
e3c647ca9bbfe20d216e4b0c78517c78,select,1727076412,917,0,0.003296581354788585,0,1,18340,1,29381A,,2024-04-14 12:14:40,5.309550831848197e-07,1.0619101663696395e-05,0.00042216358839050134,1.08
5be71cd3b9f516db902cf4a3063a68fb,select,3447478267,57228,0,0.008115858342447489,0,1,1144560,1,241742A,,2024-04-14 12:14:42,1.6599959613320458e-05,0.00033199919226640915,0.0002638522427440633,2.59
2e735e3b9fcb2c5c820af04070d96925,select,1290217182,698405,0,0.003425092478645161,0,1,13968100,1,241480A,,2024-04-14 12:14:53,0.0005413080911830548,0.010826161823661095,0.00010554089709762533,1.74
