,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,execution,write_delta,was_cached,cache_writes,cache_reads,execution_trigger,triggered_by,threshold,network_speed,total_runtime,runtime
0,6163adee828760dfc69391db7249b39d,select,1173870261,10181,0,0.00405816867627785,0,1,203620,1.0,8A,,2024-04-14 12:14:54,8.673019786127795e-06,0.00017346039572255592,0.0010460251046025104,0.01,True,True,normal,False,False,1,1,immediate,6163adee828760dfc69391db7249b39d,5.520434782608696,17179869184.0,0.07346687813449278,0.07337695348890574
1,2c800f141d10828469c2dadd59def9c8,select,3561267634,221,0,0.008397116297353818,0,2,6630,1.0,"0A,3A",,2024-04-14 12:18:34,6.205655477563021e-08,1.8616966432689064e-06,0.0031380753138075313,0.03,True,True,normal,False,False,1,1,immediate,2c800f141d10828469c2dadd59def9c8,5.520434782608696,17179869184.0,0.2143905142732433,0.21545670950283413
2,0d6243613647e1101a8d226743a74c4c,select,3361415229,262078,0,0.006304268845433431,0,1,5241560,1.0,8A,,2024-04-14 12:20:04,7.796656531420742e-05,0.0015593313062841484,0.0010460251046025104,0.03,True,True,normal,False,False,1,1,immediate,0d6243613647e1101a8d226743a74c4c,5.520434782608696,17179869184.0,0.20569832372425945,0.20570792470886703
3,7c7483072ac8260be91fe3eebda0e4ab,select,1563316868,9572,0,0.010625995408751612,0,1,191440,1.0,0A,,2024-04-14 12:21:59,6.1228789862964625e-06,0.00012245757972592923,0.0020920502092050207,0.02,True,True,normal,False,False,1,1,immediate,7c7483072ac8260be91fe3eebda0e4ab,5.520434782608696,17179869184.0,0.09867773799905626,0.09929352849836717
4,786123a40229d18deef29222cc49a1c9,select,10235443288,2979,0,0.01720347102517239,0,1,59580,1.0,3A,,2024-04-14 12:22:03,2.910474823784691e-07,5.820949647569382e-06,0.0010460251046025104,0.08,True,True,normal,False,False,1,1,immediate,786123a40229d18deef29222cc49a1c9,5.520434782608696,17179869184.0,0.6080905932631712,0.6067528288319654
5,3c8d6986a54871b0ebfaf7d70c792b00,select,9067281016,3431868,0,0.01007893106905082,0,1,68637360,1.0,3A,,2024-04-14 12:26:00,0.0003784892068464816,0.007569784136929632,0.0031380753138075313,0.11,True,True,normal,False,False,1,1,immediate,3c8d6986a54871b0ebfaf7d70c792b00,5.520434782608696,17179869184.0,0.5942135010413707,0.5935924709338763
6,9edd4b03e93249fab2ba864eee07b877,select,27547407332,9550,0,0.03346337050046944,0,1,191000,1.0,8A,,2024-04-14 12:27:42,3.46675093046103e-07,6.93350186092206e-06,0.0010460251046025104,0.19,True,True,normal,False,False,1,1,immediate,9edd4b03e93249fab2ba864eee07b877,5.520434782608696,17179869184.0,1.6238810934053998,1.6237769143103384
7,3599077bb1b6c644e2c9c48848ad6273,select,2747986115,130203,0,0.0037093471472155626,0,1,2604060,1.0,0A,,2024-04-14 12:28:25,4.7381243773133115e-05,0.0009476248754626622,0.0031380753138075313,0.02,True,True,normal,False,False,1,1,immediate,3599077bb1b6c644e2c9c48848ad6273,5.520434782608696,17179869184.0,0.1676593854739531,0.16673534259112976
8,6f548a390e487af7720fee4d4b771d7d,select,941759466,103950,0,0.006549999315489203,0,1,2079000,1.0,0A,,2024-04-14 12:29:08,0.00011037850295417152,0.0022075700590834307,0.0031380753138075313,0.02,True,True,normal,False,False,1,1,immediate,6f548a390e487af7720fee4d4b771d7d,5.520434782608696,17179869184.0,0.061979137435121415,0.06262535369036028
9,210106903c7675f75ac1aa3ec4dbcccb,select,3062873907,264,0,0.006010814511076841,0,2,7920,1.0,"8A,0A",,2024-04-14 12:32:32,8.619355808172353e-08,2.585806742451706e-06,0.0020920502092050207,0.02,True,True,normal,False,False,1,1,immediate,210106903c7675f75ac1aa3ec4dbcccb,5.520434782608696,17179869184.0,0.18485309057251906,0.18339644079541267
10,89df2c33ce0e4d46cf118748b0df6ad8,select,5473716034,2538,0,0.009730786268060239,0,2,76140,1.0,"0A,8A",,2024-04-14 12:33:12,4.6367038118806437e-07,1.391011143564193e-05,0.0,0.04,False,False,normal,False,False,0,1,immediate,89df2c33ce0e4d46cf118748b0df6ad8,5.520434782608696,17179869184.0,0.325387561357149,0.32496656789116873
11,44484f4f8d3a5ddd885b750379a3c341,select,11001800693,2960,0,0.018619792737408946,0,1,59200,1.0,3A,,2024-04-14 12:38:07,2.6904686629010905e-07,5.380937325802181e-06,0.0020920502092050207,0.08,True,True,normal,False,False,1,1,immediate,44484f4f8d3a5ddd885b750379a3c341,5.520434782608696,17179869184.0,0.6521426532947756,0.6526279418650568
12,67d2b9fe020c800f2ee6c2ab6e6af2fc,select,2022963204,1269,0,0.004569099016946159,0,1,25380,1.0,0A,,2024-04-14 12:43:52,6.2729761840987e-07,1.25459523681974e-05,0.0010460251046025104,0.02,True,True,normal,False,False,1,1,immediate,67d2b9fe020c800f2ee6c2ab6e6af2fc,5.520434782608696,17179869184.0,0.12277852890542501,0.12350624073989325
13,7a122b32fea1d40d709aeae7f7d3fb7d,select,306391755,5380,0,0.003084045412974075,0,1,107600,1.0,0A,,2024-04-14 12:47:01,1.7559219242045206e-05,0.0003511843848409041,0.0,0.01,False,False,normal,False,False,0,1,immediate,7a122b32fea1d40d709aeae7f7d3fb7d,5.520434782608696,17179869184.0,0.02083915361620059,0.020393282033901613
14,ec03a575bc1856b2487941f530574be5,select,2554493399,107269,0,0.00781219322087749,0,1,2145380,1.0,8A,,2024-04-14 12:50:58,4.1992279190070436e-05,0.0008398455838014088,0.0020920502092050207,0.03,True,True,normal,False,False,1,1,immediate,ec03a575bc1856b2487941f530574be5,5.520434782608696,17179869184.0,0.15734847653424197,0.15685822915338873
15,d58c3e9bb210817fad1d3a8818934046,select,1695256749,35395,0,0.003988208248352592,0,1,707900,1.0,8A,,2024-04-14 12:52:10,2.0878843290775184e-05,0.00041757686581550367,0.0031380753138075313,0.01,True,True,normal,False,False,1,1,immediate,d58c3e9bb210817fad1d3a8818934046,5.520434782608696,17179869184.0,0.10524173662594945,0.10455380314168358
16,211ddd47f69a4d0a9c127eac7f23d9ec,select,6554149930,21729,0,0.011586728745372166,0,1,434580,1.0,3A,,2024-04-14 12:53:45,3.315304079410951e-06,6.630608158821902e-05,0.0020920502092050207,0.05,True,True,normal,False,False,1,1,immediate,211ddd47f69a4d0a9c127eac7f23d9ec,5.520434782608696,17179869184.0,0.39064245539366405,0.39117379213627074
17,600bd4da4746ee68c66a472dcf71536a,select,21103456466,25313,0,0.02424583312072184,0,1,506260,1.0,0A,,2024-04-14 12:53:53,1.1994717567135051e-06,2.3989435134270104e-05,0.0,0.14,False,False,normal,False,False,0,1,immediate,600bd4da4746ee68c66a472dcf71536a,5.520434782608696,17179869184.0,1.2419117490987104,1.2415092675909458
18,6e93f3e1b39b855023a58189dc3b750f,select,2296222219,27188,0,0.0033767819064871823,0,1,543760,1.0,0A,,2024-04-14 12:54:19,1.1840317446209678e-05,0.00023680634892419357,0.0020920502092050207,0.02,True,True,normal,False,False,1,1,immediate,6e93f3e1b39b855023a58189dc3b750f,5.520434782608696,17179869184.0,0.13869435771137714,0.1391728800406241
19,e0400178f04e05515fd679063f566fb7,select,11556694876,4504,0,0.015166521719417143,0,1,90080,1.0,8A,,2024-04-14 13:01:24,3.8973080524549793e-07,7.794616104909959e-06,0.0010460251046025104,0.08,True,True,normal,False,False,1,1,immediate,e0400178f04e05515fd679063f566fb7,5.520434782608696,17179869184.0,0.682413739988329,0.6827693281794539
20,6163adee828760dfc69391db7249b39d,select,0,10181,0,0,0,1,203620,1.0,8A,,2024-04-14 13:03:54,8.673019786127795e-06,0.00017346039572255592,0.0010460251046025104,0.0,False,False,incremental,False,True,0,1,immediate,6163adee828760dfc69391db7249b39d,5.520434782608696,1250000000.0,0.0016647032608128906,0.0019476968086763254
21,6759969c00ce0553ccb740f8f7497cd0,select,970162417,307,0,0.005623266686943119,0,1,6140,1.0,8A,,2024-04-14 13:04:06,3.1644186027049533e-07,6.328837205409906e-06,0.0010460251046025104,0.01,True,True,normal,False,False,1,1,immediate,6759969c00ce0553ccb740f8f7497cd0,5.520434782608696,17179869184.0,0.06315269829283372,0.063248989873544
22,943192c106b81d175d8a9480280b717d,select,10780371948,2635,0,0.016156768601880367,0,1,52700,1.0,8A,,2024-04-14 13:05:14,2.444257037428891e-07,4.888514074857782e-06,0.0010460251046025104,0.08,True,True,normal,False,False,1,1,immediate,943192c106b81d175d8a9480280b717d,5.520434782608696,17179869184.0,0.6386060180898898,0.6392277563410427
23,7a742e7262c23b69721db94ae1803898,select,60315506317,152,0,0.06112319086879108,0,1,3040,1.0,0A,,2024-04-14 13:07:27,2.520081638727098e-09,5.040163277454196e-08,0.0,0.39,False,False,normal,False,False,0,1,immediate,7a742e7262c23b69721db94ae1803898,5.520434782608696,17179869184.0,3.5430260160604745,3.542565332314179
24,76c7a8801fe0d8d808f8db9cf7eb4a19,select,9754978589,26086,0,0.011976840568367328,0,2,782580,1.0,"3A,0A",,2024-04-14 13:10:31,2.674121707393119e-06,8.022365122179358e-05,0.0,0.07,False,False,normal,False,False,0,1,immediate,76c7a8801fe0d8d808f8db9cf7eb4a19,5.520434782608696,17179869184.0,0.5749941266669915,0.575378912455004
